title,interviewee,interviewer,date,datenice,dates,affiliation (role),affiliation (department),description,biography,subject (lcsh),subjects (lctgm),subject,location,object type,notes,language,language code,digital collection,digital id number,ordering information,citation information,repository,repository collection,rights uri,restrictions,type,staff notes,cataloging,extent,format,original format,file name,digital reproduction information,oclc number,date created,date modified,reference url,compound,cdmid,contentdm file name,contentdm file path,objectid,reference_url
"Michael Allen interview","Allen, Michael, 1950-","Williams, Charles Thomas","2018-02-21","February 21, 2018","2018","Faculty","Liberal Studies; School of Interdisciplinary Arts and Science","In this interview, Michael Allen describes what it was like to be a faculty member at University of Washington Tacoma at the founding of the campus. He remarks on how the interdisciplinary bent--which is less pronounced in today&#39;s more-structured curriculum--reflected an intellectual goal shared among the initial faculty members. He explains the freedom and flexibility this allowed, citing fondly his experience conducting scholarship at the intersection of history, folklore, music, and rodeo.      The interview then shifts to UW Tacoma&#39;s relationship with the local community. Allen points out the issue of fairness, noting that Tacoma was the largest metropolitan area on the Pacific coast that did not have a state college, and therefore, he says, the community embraced the arrival of UW Tacoma, which offered essentially open admission and a pathway to higher education. He recalls a preference for faculty candidates&#39; investment in the community in earlier recruitments, when whether or not they lived locally in the South Sound was important.      In the concluding section of the interview, Allen traces the trajectory of UW Tacoma, projecting that it will become increasing similar to regional state schools. He attributes this to democracy, the forces of politics, and the fact that most Americans are more interested in applied degrees than liberal arts. He welcomes this future and intends to create, as much excellence as possible, while broadening access.","Michael Allen (b. 1950) was born and raised in Ellensburg, Washington. His mother was Jewish and taught high school English literature. His father had left the Mormon church in Pocatello, Idaho, and owned an ice cream shop, which adjoined Michael Allen&#39;s childhood home. Allen graduated from Ellensburg High School in 1968 and served with the U.S. Marines Corps in Vietnam. He returned to his hometown to study history at Central Washington University (then Central Washington State College), earning his bachelor&#39;s degree in 1974. He subsequently moved to Missoula and completed his MA in history at the University of Montana in 1977. He then spent three years working on the Mississippi River as a towboat deckhand, oil tankerman, and cook. This experience framed his specialization in the Mississippi Valley as a historian and planted seeds for his PhD thesis and first book, Western Rivermen, 1763-1861: Ohio and Mississippi Boatmen and the Myth of the Alligator Horse, which was published in 1990.      He returned to the Pacific Northwest to work on his PhD at University of Washington and earned his degree in 1985. Prior to joining the founding faculty of University of Washington Tacoma in 1990, he had taught history at Eastern Montana College in Billings, Deep Springs College in California, and Tennessee Technological University. He has written a number of books and co-authored A Patriot&#39;s History of the United States: From Columbus&#39;s Great Discovery to the War on Terror (2004), which became a New York Times Bestseller.     He inherited an ardent interest in rodeo from his father and established the Ellensburg Rodeo Hall of Fame in 1997, serving as its founding president for seven years. In addition, Allen has continued his enthusiasm for magic--a childhood passion--and performed magic shows on the UW Tacoma campus.","Allen, Michael, 1950- --Interviews; History teachers--Washington (State)--Tacoma; Interdisciplinary approach in education; Curriculum planning; University of Washington Tacoma--History","","Mississippi River; Vietnam War; Jack Keating; core curriculum; interdisciplinary curriculum; diversity; Washington State Historical Society; William Gerberding; Grand Valley State University; Evergreen State College","United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle; United States--Washington--Ellensburg","Oral histories","The oral history interview with Michael Allen was part of the &amp;quot;Founding Stories&amp;quot; phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201802","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201802","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1142818310","2018-07-24","2020-03-03","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/23","20;21;22","23","24.cpd","/p16786coll18/image/24.cpd","foundingstories23","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories23.html"
"Liz Heath, photograph","","","","","","","","","","","","","","Oral histories","","","","","UWTOH201804-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_lheath_photo.jpg","","","2019-12-06","2019-12-06","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/25","","25","26.jp2","/p16786coll18/image/26.jp2","foundingstories24","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories24.html"
"Liz Heath, audio","","","","","","","","","","","","","","Oral histories","","","","","UWTOH201804-Audio","","","","","","","Sound","","","0:58:59","audio/mp3","audio/wav","uwtlib_uwtoralhistory_lheath_access.mp3","Converted from digital 24bit/96kHz wav fiiles to 16bit/24kHz mp3 fiiles in 2018.","","2019-12-06","2019-12-06","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/26","","26","27.mp3","/p16786coll18/image/27.mp3","foundingstories25","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories25.html"
"Liz Heath, transcript","","","","","","","","","","","","","","Oral histories","","","","","UWTOH201804-Transcript","","","","","","","Text","","","16 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_lheath_transcript.pdf","","","2019-12-06","2019-12-06","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/27","","27","28.pdf","/p16786coll18/image/28.pdf","foundingstories26","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories26.html"
"Liz Heath interview","Heath, Elizabeth, 1940","Wadland, Justin","2018-05-15","May 15, 2018","2018","Community member","University of Washington Tacoma Advisory Board; Sound Nonprofits; Communities in Schools of Lakewood","Liz Heath starts the session by explaining her involvement in the late 1980s with the Tacoma-Pierce County Economic Development Board (EDB) and the South Puget Sound Higher Education Council, where she worked with Ryan Petty, then the director of EDB, on the project to found UW Tacoma. She recalls the community activism that successfully brought public higher education to the South Puget Sound region. She discusses the assessments of community needs, the vision for a liberal arts curriculum that would offer a practical degree to place-bound students, and the decision made by the Washington Higher Education Coordinating (HEC) Board to eventually select University of Washington as the institution to make this happen. The session shifts to the political aspect of establishing UW Tacoma. Heath describes the legislative support the University received, naming, in particular, Brian Ebersole, former Washington State Speaker of the House, and majority leader Dan Grimm. The conversation continues with a glimpse into the initial interviews for the founding faculty, which Heath attended as a member of the UW Tacoma Advisory Panel. In the concluding part of the session, noting her encounters with students and alumni of UW Tacoma, Heath states that this is perhaps the most important work she has done in her life. The interview ends with Heath’s reflection on various perspectives on community that, she says, are shaped by the environment.","Liz Heath (b. 1940) is a nonprofit consultant whose work centers around community involvement in Tacoma, Washington. She is currently the principal at Sound Nonprofits, a consulting firm that offers guidance and tools to small and mid-sized nonprofits. Prior to that, she was the founder and executive director of The Nonprofit Center (1999-2011), which developed resources for nonprofits in the South Puget Sound region, and the principal at Morgan Heath Consulting (1986-2003). She holds a BA (1962) from Lawrence University in Appleton, Wisconsin. In the late 1980s, Heath served on the Tacoma-Pierce County Economic Development Board (EDB) and worked on bringing public higher education to the South Sound. The EDB assembled the South Puget Sound Higher Education Council, a community group, to provide a local perspective and identify community needs. In 1988, Washington State&#39;s Higher Education Coordinating (HEC) Board designated University of Washington--rather than Washington State University or other contenders--to be the university to open a branch campus in Tacoma. Heath then served on UW Tacoma’s advisory panel, which was involved in the selection of the founding faculty, and she became the panel’s vice chairwoman in 1993.","Health, Liz, 1940- --Interviews; Sound Nonprofits (Firm); Nonprofit Center (Firm); Consulting firms--Washington (State); Nonprofit organizations--Washington (State); Advisory boards--Washington (State); University of Washington Tacoma--History.","","South Puget Sound Higher Education Council; Tacoma-Pierce County Economic Development Board (EDB); community outreach; community involvement; urban revitalization; urban development; higher education; Sam Smith; Washington State University; Bill Gerberding; Ryan Petty; Rod Hagenbuch; Fred Haley; Urban Waters; place-bound students; nontraditional students","United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle","Oral histories","The oral history interview with Liz Heath was part of the “Founding Stories&amp;quot; phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201804","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201804","University of Washington Tacoma Library","UW Tacoma Oral History, Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1142973075","2019-12-06","2020-03-04","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/28","25; 26; 27","28","29.cpd","/p16786coll18/image/29.cpd","foundingstories27","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories27.html"
"Brian Ebersole, photograph","","","","","","","","","","","","","","Oral histories","","","","","UWTOH201807-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_bebersole_photo.jpg","","","2019-12-06","2019-12-06","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/29","","29","30.jp2","/p16786coll18/image/30.jp2","foundingstories28","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories28.html"
"Brian Ebersole, audio","","","","","","","","","","","","","","Oral histories","","","","","UWTOH201807-Audio","","","","","","","Sound","","","1:04:03","audio/mp3","audio/wav","uwtlib_uwtoralhistory_bebersole_access.mp3","Converted from digital 24bit/96kHz wav fiiles to 16bit/24kHz mp3 fiiles in 2018.","","2019-12-06","2019-12-06","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/30","","30","31.mp3","/p16786coll18/image/31.mp3","foundingstories29","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories29.html"
"Brian Ebersole, transcript","","","","","","","","","","","","","","Oral histories","","","","","UWTOH201807-Transcript","","","","","","","Text","","","17 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_bebersole_transcript.pdf","","","2019-12-06","2019-12-06","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/31","","31","32.pdf","/p16786coll18/image/32.pdf","foundingstories30","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories30.html"
"Brian Ebersole interview","Ebersole, Brian","Wadland, Justin","2018-07-27","July 27, 2018","2018","Government official; Community member","University of Washington Tacoma Advisory Board","In this interview, Brian Ebersole recounts his involvement in the establishment of the University of Washington Tacoma, which coincided largely with his time as Washington State House Majority Leader. He remembers first hearing about the idea in 1987 and credits fellow legislator Dan Grimm for having by that point explored access to public higher education in the South Sound for over a decade. He points out the need in Tacoma, citing that it is an underserved, blue-collar city in relation to Seattle. He then explains the mechanism of founding a state branch campus and how Grimm, being the Chair of the House Ways and Means Committee, had significant leverage to make it happen. Placing UWT in the context of the revitalization of Downtown Tacoma, he connected the founding of the campus to the Save Our Nation movement, which resulted in the restoration of the historic Union Station. The second half of the session turned toward other community initiatives such as the contributions of the Tacoma-Pierce County Economic Development Board (EDB), which Ebersole said carried out their efforts largely independently. In addition, he mentions Kelso Gillenwater and David Zeeck, publishers of The News Tribune, as some of the key players. In the concluding part of the interview, Ebersole shares his opinion on broadening access to public education, emphasizing the need for inclusiveness. Finally, he reflects on the future direction of UW Tacoma, mentioning Urban Waters as an ideal example of collaboration between the state, city, and the University to fulfill local needs and advance research.","Brian Ebersole (b. 1947) came to Tacoma, Washington, in 1972 and worked with the Tacoma Public Schools as a dropout prevention specialist for 10 years. He served in the Washington State House of Representatives from 1983 to 1996, during which he was Speaker of the House from 1993 to 1995, after first serving as Majority Leader. He was the mayor of Tacoma from 1996 to 2000 and subsequently the president of Bates Technical College until 2003. During his time in public office, he contributed to the revitalization of Downtown Tacoma, where the new Washington State History Museum opened in 1996, and the historic Union Station was rehabilitated and converted to a federal courthouse by 1992. In the late 1980s, he worked with Representative Dan Grimm, who was then the Chair of the Ways and Means Committee, to advocate for access to public higher education in Tacoma. He was part of the community group South Puget Sound Higher Education Council, which Ebersole calls the “candy factory backroom board,” referring to its chair Fred Haley and Tacoma’s Brown &amp; Haley candy factory. Following the establishment of the University of Washington Tacoma, he served on its advisory board from 1996 to 2002. He was UWT’s first commencement speaker. Ebersole, now retired, opened a gallery called Art Above in 2018 on Pacific Avenue in Tacoma.","University of Washington Tacoma--History; Tacoma School District #10--Employees; Mayors--Washington (State)--Tacoma; Legislators--Washington (State)","","Urban Waters; urban development; Norman Dicks; Herb Simon; Dan Grimm; Save Our Station; Union Station; Fred Haley; South Puget Sound Higher Education Council; higher education; place-bound students; nontraditional students; Bill Gerberding; Richard L. McCormick; Kelso Gillenwater; News Tribune; Washington State Legislature; House Ways and Means Committee; Pierce County","United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle; United States--Washington (State)--Olympia","Oral histories","The oral history interview with Brian Ebersole was part of the &amp;quot;Founding Stories&amp;quot; phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201807","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201807","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1136495453","2019-12-06","2020-01-16","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/32","29; 30; 31","32","33.cpd","/p16786coll18/image/33.cpd","foundingstories31","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories31.html"
"Sara Contreras, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201901-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_scontreras_photo.jpg","","","2019-12-06","2019-12-06","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/33","","33","34.jp2","/p16786coll18/image/34.jp2","foundingstories32","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories32.html"
"Sara Contreras, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201901-Audio","","","","","","","Sound","","","1:24:29","audio/mp3","audio/wav","uwtlib_uwtoralhistory_scontreras_access.mp3","Converted from digital 24bit/96kHz wav fiiles to 32bit/48kHz mp3 fiiles in 2019.","","2019-12-06","2019-12-06","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/34","","34","35.mp3","/p16786coll18/image/35.mp3","foundingstories33","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories33.html"
"Sara Contreras, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201901-Transcript","","","","","","","Text","","","21 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_scontreras_transcript.pdf","","","2019-12-06","2019-12-06","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/35","","35","36.pdf","/p16786coll18/image/36.pdf","foundingstories34","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories34.html"
"Sara Contreras interview","Contreras, Sara","Hua, Joan","2019-10-30","October 30, 2019","2019","Staff; Student","Education; CEI","In this interview, Sara Contreras discusses her experience working as a founding staff member to establish the Education Program (later the School of Education) at University of Washington Tacoma in 1992. She also reflects on her experience earning her bachelor’s degree at UW Tacoma as a working student and student parent. The session begins with her trajectory starting her career in the Morgan Hill Unified School District in Morgan Hill, California, and later at the College of Education at UW Seattle, before working and completing her degree at UW Tacoma. Contreras mentions faculty colleagues such as Marcy Stein and Belinda Louie who shared her path moving from the UW College of Education to UW Tacoma. She points to a strong sense of comradery when staff from different academic programs worked closely alongside each other in the small quarters of the Perkins Building, where the university operated until 1997. As the sole staff member of the Education Program when it was first established, Contreras had a wide array of responsibilities. She discusses working at outreach and recruiting events, interfacing with educators in the community, and her sense of pride and belonging in the Education Program. She recalls working with students—majority female and professional teachers—to navigate the challenges negotiating between graduate school, personal life, and teaching. In the later part of the interview, Contreras reflects on periods of growth and distress during her time at UW Tacoma, which corresponded with the different seasons in the university’s history. She emphasizes the priority to serve students and help them succeed, which she says is the most rewarding aspect of her work at UW Tacoma.","Sara Contreras (b. 1955) is currently a program administrator at the UW Tacoma Center for Equity and Inclusion. In the early 1990s, she worked to help establish University of Washington Tacoma’s Education Program (which became the School of Education in 2016) and has since played a key role in the program’s development—working to support students needs and recruitment—until 2008. She grew up in Morgan Hill, California, where she gained prior work experiences in the Morgan Hill Unified School District. When she moved to Seattle in the early 1980s, she worked at the College of Education at UW Seattle, where she simultaneously began college coursework. She finished and earned her bachelor’s degree at UW Tacoma in 1995.","Contreras, Sara--Interviews; Stein, Marcy; Louie, Belinda Yun-ying; Teachers--Reruiting--Washington (State)--Tacoma; University of Washington. College of Education--History; University of Washington Tacoma--History","","Education Program; College of Education; classroom teachers; recruitment; community outreach; Center for Equity and Inclusion; Diversity Resource Center; student parent","United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle; United States--Washington (State)--Federal Way; United States--California--Morgan Hill","Oral histories","The oral history interview with Sara Contreras was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201901","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201901","University of Washington Tacoma Library","UW Tacoma Oral History, Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1142973454","2019-12-06","2020-03-04","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/36","33; 34; 35","36","37.cpd","/p16786coll18/image/37.cpd","foundingstories35","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories35.html"
"Jamie McGee, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201902-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_jmcgee_photo.jpg","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/37","","37","38.jp2","/p16786coll18/image/38.jp2","foundingstories36","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories36.html"
"Jamie McGee, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201902-Audio","","","","","","","Sound","","","1:28:28","audio/mp3","audio/wav","uwtlib_uwtoralhistory_jmcgee_access.mp3","Converted from digital 24bit/96kHz wav fiiles to 32bit/48kHz mp3 fiiles in 2019.","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/38","","38","39.mp3","/p16786coll18/image/39.mp3","foundingstories37","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories37.html"
"Jamie McGee, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201902-Transcript","","","","","","","Text","","","20 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_jmcgee_transcript.pdf","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/39","","39","40.pdf","/p16786coll18/image/40.pdf","foundingstories38","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories38.html"
"Jamie McGee interview","McGee, Jamie","Hua, Joan","2019-11-06","November 6, 2019","2019","Student","School of Interdisciplinary Arts and Science","In this interview, Jamie McGee discusses her personal and educational trajectory and her transformative experience at UW Tacoma. She recounts in detail classes she took from UW Tacoma professors, including Emily Ignacio, Michael Honey, Trista Huckleberry, and Luther Adams. In the second half of the interview, she describes the origins of the now annual Martin Luther King, Jr., Unity Breakfast, which she and her classmates in the Black Student Union began to organize in late 2006.","Jamie McGee was Jamie Glaze when she attended University of Washington Tacoma and graduated in 2007. She was born in Brooklyn, New York, and grew up in a military family in Germany. She graduated from high school in 1987. Before returning to school for college, she served in the Army, was stationed in For Lewis, and worked in law enforcement at Port of Tacoma. By the time she enrolled at UW Tacoma, she was 28 years old and a single parent. Throughout her time as a student, she remained active in church and as a mentor, regularly hosting and supporting exchange students, youth, and adults in difficult circumstances. In 2006, she started her nonprofit Girls Reclaiming Individual Purpose in Society (GRIPS), which she co-directed with her UW Tacoma classmate Chana Lawson. She holds an MA in psychology from Chapman University.","McGee, Jamie--Interviews; Ignacio, Emily; Honey, Michael K.; Black Student Union (University of Washington); University of Washington Tacoma--Students; Veterans--Washington (State)--Tacoma; University of Washington Tacoma--History","","veteran; military; student parent; community outreach; mentorship; diversity; youth services; at-risk girls; Black Student Union (BSU); student organization; MLK Jr. Unity Breakfast; Emily Ignacio; Michael Honey; Trista Huckleberry; Luther Adams","United States--Washington (State)--Tacoma; United States--Washington (State)--Fort Lewis","Oral histories","The oral history interview with Jamie McGee was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201902","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201902","University of Washington Tacoma Library","UW Tacoma Oral History, Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1142992080","2020-02-27","2020-03-04","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/40","37; 38; 39","40","41.cpd","/p16786coll18/image/41.cpd","foundingstories39","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories39.html"
"Steve Smith, photograph","","","","","","","","","","","","","","Oral histories","","","","UW Tacoma Oral History: Founding Stories","UWTOH202001-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_stevesmith_photo.jpg","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/41","","41","42.jp2","/p16786coll18/image/42.jp2","foundingstories40","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories40.html"
"Steve Smith, audio","","","","","","","","","","","","","","Oral histories","","","","UW Tacoma Oral History: Founding Stories","UWTOH202001-Audio","","","","","","","Sound","","","1:43:07","audio/mp3","audio/wav","uwtlib_uwtoralhistory_stevesmith_access.mp3","Converted from digital 24bit/96kHz wav fiiles to 32bit/48kHz mp3 fiiles in 2020.","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/42","","42","43.mp3","/p16786coll18/image/43.mp3","foundingstories41","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories41.html"
"Steve Smith, transcript","","","","","","","","","","","","","","Oral histories","","","","UW Tacoma Oral History: Founding Stories","UWTOH202001-Transcript","","","","","","","Text","","","28 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_stevesmith_transcript.pdf","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/43","","43","44.pdf","/p16786coll18/image/44.pdf","foundingstories42","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories42.html"
"Steve Smith interview","Smith, Steve","Hua, Joan","2020-01-08","January 8, 2020","2020","Staff","Administration; Student Affairs; Admissions; Communtiy Relations","In this interview, Steve Smith recounts stories from his tenure at UW Tacoma during its early years, including anecdotes of students who returned to school mid-career, snapshots of graduation ceremonies, and past conversations with administrators and colleagues. At the start of the interview, Steve Smith describes his impressions of downtown Tacoma in the late 1970s and early ’80s. Further into the interview, he shares his experience working as an administrator who maintained close connections with colleagues at UW Seattle. He describes his involvement in the unique South Puget Sound Diversity Partnership. In conclusion, Smith emphasizes UW Tacoma’s remarkable connection with the local community, sharing his insights into the education system in the area from K-12 to college.","Steve Smith (b. 1959) came to UW Tacoma during its initial academic year in the fall of 1990 as the Director of Admissions, Student Affairs, and Community Relations. He worked at UW Tacoma until 2009. Currently the executive director of the Black Education Strategy Roundtable, he has had a career lasting over 25 years in college administration in Tacoma. He is active in the community, serves as a board member of Pierce College, and has served on many community boards, such as the Rotary Club of Tacoma #8, Tacoma-Pierce County Black Collective, and Tacoma Community House. He has a BA in Psychology and an MA in Guidance and Counseling from Pacific Lutheran University. He grew up in Portland, Oregon, and currently resides in University Place.","xyz","xyz","interdisciplinary education; community outreach; recruitment; diversity; student services; nontraditional students; Vicky Carwein; Jack Keating; Bill Richardson","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Steve Smith was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","UW Tacoma Oral History: Founding Stories","UWTOH202001","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH202001","University of Washington Tacoma Library","UW Tacoma Oral History, Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","xyz","","cpd","","","","","2020-02-27","2020-03-02","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/44","41; 42; 43","44","45.cpd","/p16786coll18/image/45.cpd","foundingstories43","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories43.html"
"Dan Grimm, photograph","","","","","","","","","","","","","","Oral histories","","","","","UWTOH201808-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_dgrimm_photo.jpg","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/45","","45","46.jp2","/p16786coll18/image/46.jp2","foundingstories44","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories44.html"
"Dan Grimm, audio","","","","","","","","","","","","","","Oral histories","","","","","UWTOH201808-Audio","","","","","","","Sound","","","1:21:24","audio/mp3","audio/wav","uwtlib_uwtoralhistory_dgrimm_access.mp3","Converted from digital 24bit/96kHz wav fiiles to 16bit/24kHz mp3 fiiles in 2018.","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/46","","46","47.mp3","/p16786coll18/image/47.mp3","foundingstories45","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories45.html"
"Dan Grimm, transcript","","","","","","","","","","","","","","Oral histories","","","","","UWTOH201808-Transcript","","","","","","","Text","","","24 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_dgrimm_transcript.pdf","","","2020-02-27","2020-02-27","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/47","","47","48.pdf","/p16786coll18/image/48.pdf","foundingstories46","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories46.html"
